types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJapan-exclusiveVideoGames,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatPlayStation2Games,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatPlayStation3Games,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatPlayStationNetworkGames,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatVideoGameSequels,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatWiiGames,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/WikicatSengokuVideoGames,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Ending107291312,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Result107292694,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Sequel107295507,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
http://dbpedia.org/class/yago/Wikicat2006VideoGames,http://dbpedia.org/resource/Sengoku_Basara,Sengoku Basara,325,52,1.0,5.944330519965119e-18,3,0,
