types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/WikicatAnimalProducts,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/ontology/ChemicalCompound,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/AnimalMaterial114755804,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/AnimalProduct114700745,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Tortoiseshell,Tortoiseshell,252,153,0.9999999999990336,0.0,7,7,== Career == | === 2006–2011: Early career and Supercell ===
