types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatShips,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Craft103125870,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Ship104194289,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Vessel104530566,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ship_floodability,watertight compartments,197,53,0.9999999989495052,7.558146773072187e-10,2,81,== Inventions and scientific inquiries == | === Oceanography ===
