types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatComputerFileFormats,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatDocument-centricXML-basedStandards,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatWebStandards,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatXML-basedStandards,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatMarkupLanguages,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Format106636806,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/MarkupLanguage106787835,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Terminology106304059,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatOpenFormats,http://dbpedia.org/resource/Darwin_Information_Typing_Architecture,dita,69,134,0.9999997859076986,0.0,1,2,== Biography ==
