types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/University,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/WikicatDoctoralDegrees,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/WikicatLawDegrees,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/AcademicDegree106697331,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Degree105093890,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/LawDegree106704740,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Legum_Doctor,DCL,1644,33,0.9945204247693102,0.0055062467797223,0,0,
