types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/WikicatBritishSkaMusicalGroups,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/The_Lee_Thompson_Ska_Orchestra,The Lee Thompson Ska Orchestra,7,37,1.0,0.0,0,6,== Career ==
http://dbpedia.org/ontology/RadioStation,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/WikicatCyrillicLetters,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/WikicatSerbianLetters,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Document103217458,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Letter106624161,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Representation104076846,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Nje,NJE,9,4,0.9999997144561642,0.0,3,6,== Career ==
