types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
http://dbpedia.org/class/yago/WikicatTurkishMusicalInstruments,http://dbpedia.org/resource/Music_of_Turkey,Turkish art music,405,20,1.0,0.0,0,9,== Musical career ==
