types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/WikicatBritishComposers,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://schema.org/Person,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/David_Arch,David Arch,24,95,0.9999999999918714,0.0,3,17,== Career == | === Solo career and other projects ===
