types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/MilitaryLeader110316862,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Warlord110767837,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/WikicatWarlordsInRepublicanChina,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Warlord_Era,warlords,865,126,0.8960505293295117,0.1157120274206743,5,0,
