types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/WikicatIndividualDogs,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Canine102083346,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Carnivore102075296,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Chordate101466257,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Dog102084071,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/DomesticAnimal101317541,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Mammal101861778,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Placental101886756,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Vertebrate101471682,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Tongdaeng,Tongdaeng,11,13,0.9978180992254264,0.0,1,119,== Works ==
