types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/ontology/Prison,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/WikicatPrisons,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/WikicatPrisonsInRussia,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/WikicatPrisonsInTheSovietUnion,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/CorrectionalInstitution103111690,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Institution103574555,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/PenalInstitution103907654,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Prison104005630,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
http://dbpedia.org/class/yago/WikicatExecutionSites,http://dbpedia.org/resource/Butyrka_prison,Butyrskaya prison,177,30,1.0,0.0,12,5,== Life and career == | === Early years (1913–1938) ===
