types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatCompaniesDisestablishedIn1983,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1883,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatCoventryMotorCompanies,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatDefunctMotorVehicleManufacturersOfTheUnitedKingdom,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatMotorcycleManufacturersOfTheUnitedKingdom,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/WikicatScooterManufacturers,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Business108061042,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Manufacturer108060446,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Triumph_Engineering,Triumph Motorcycles,741,20,0.6262976080636868,0.5966850058579182,4,38,== Personal life ==
