types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/WikicatHistoricallyAfrican-AmericanChristianDenominations,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/WikicatMethodistDenominations,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/WikicatMethodistDenominationsEstablishedInThe19thCentury,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/WikicatMethodistDenominationsInNorthAmerica,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/WikicatReligiousOrganizationsEstablishedIn1821,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/African_Methodist_Episcopal_Zion_Church,AME Zion,375,27,0.9999999999999858,0.0,1,4,== Biography ==
