types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/WikicatHebrewBibleEvents,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/WikicatCivilizations,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Civilization108111783,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Myth106372680,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Society107966140,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/Story106369829,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
http://dbpedia.org/class/yago/WikicatFloodMyths,http://dbpedia.org/resource/Flood_myth,The Flood,715,108,0.8729500714833052,0.1451843477885554,1,0,
