types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/ontology/RugbyPlayer,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/WikicatMartialArtTechniques,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Clasp100812526,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Control100803617,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Grasping100812274,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Armlock,Kimura,1636,70,0.6335201888978776,0.4719199367849114,0,2,== Career ==
