types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatLGBTRights,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatLGBTRightsByRegion,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatYouthRights,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatMinimumAges,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatSexLaws,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Age104924103,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Law108441203,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/Right105174653,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
http://dbpedia.org/class/yago/WikicatTransgenderRights,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,equality,3179,147,0.9998175584566888,0.00014290887665534784,6,17,== Philanthropy ==
