types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPlasticsApplications,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/ontology/ChemicalCompound,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Application106570110,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/WikicatPackagingMaterials,http://dbpedia.org/resource/Shrink_wrap,shrink wrap,111,89,1.0,0.0,3,5,== New York ==
http://dbpedia.org/class/yago/WikicatPhotographyExhibitions,http://dbpedia.org/resource/Who_Shot_Rock_&_Roll,Who Shot Rock & Roll,7,0,1.0,0.0,2,34,== Famous photographs ==
http://dbpedia.org/ontology/Convention,http://dbpedia.org/resource/Who_Shot_Rock_&_Roll,Who Shot Rock & Roll,7,0,1.0,0.0,2,34,== Famous photographs ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Who_Shot_Rock_&_Roll,Who Shot Rock & Roll,7,0,1.0,0.0,2,34,== Famous photographs ==
http://dbpedia.org/class/yago/WikicatMuseumEvents,http://dbpedia.org/resource/Who_Shot_Rock_&_Roll,Who Shot Rock & Roll,7,0,1.0,0.0,2,34,== Famous photographs ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Who_Shot_Rock_&_Roll,Who Shot Rock & Roll,7,0,1.0,0.0,2,34,== Famous photographs ==
