types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/WikicatHipHopGenres,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Freestyle_rap,free-styled,537,160,0.9999999926843656,0.0,14,12,== Artistry ==
