types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/WikicatPeopleFromNorwich,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/WikicatBritishClassicalMusicians,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/WikicatWomenClassicalComposers,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/WikicatMusiciansFromNorfolk,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marian_Arkwright,Marian Arkwright,6,0,0.9999987028574424,0.0,0,2,== Life ==
