types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatAmericanChessWriters,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatAmericanMusicCritics,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatPeopleFromNewYork,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatClassicalMusicCritics,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatCriticsEmployedByTheNewYorkTimes,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Winner110782791,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatMusicCritics,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatPulitzerPrizeWinners,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Authority109824361,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Critic109979321,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Critic109979589,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Evaluator110066732,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Gambler110118844,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/MusicCritic110339856,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/PrizeWinner109627807,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
http://dbpedia.org/class/yago/WikicatOperaCritics,http://dbpedia.org/resource/Harold_C._Schonberg,"Schonberg, Harold C.",224,0,1.0,0.0,0,9,== Bibliography ==
