types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/WikicatAmericanComposers,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/WikicatAmericanMusicEducators,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/WikicatWomenClassicalComposers,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Wikicat19th-centuryClassicalComposers,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Wikicat20th-centuryClassicalComposers,http://dbpedia.org/resource/Laura_Sedgwick_Collins,Laura Sedgwick Collins,3,198,0.9999999999866418,0.0,6,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Group_conflict,group conflict,248,12,0.999999993047254,0.0,20,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/WikicatGroupProcesses,http://dbpedia.org/resource/Group_conflict,group conflict,248,12,0.999999993047254,0.0,20,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Group_conflict,group conflict,248,12,0.999999993047254,0.0,20,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Group_conflict,group conflict,248,12,0.999999993047254,0.0,20,5,== National Federation of Women's Music Clubs ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Group_conflict,group conflict,248,12,0.999999993047254,0.0,20,5,== National Federation of Women's Music Clubs ==
