types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Doris_Cohen,Doris Cohen,4,65,1.0,0.0,3,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/WikicatAmericanOrchestras,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1937,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Des_Moines_Symphony,Des Moines Symphony,16,266,1.0,0.0,0,2,
