types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatOccupations,http://dbpedia.org/resource/Mixing_engineer,engineer,1902,65,0.7850468005236361,0.2738094074228279,0,4,== Career ==
