types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/WikicatIrishOrganists,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/WikicatIrishPeopleOfGermanDescent,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/WikicatIrishPianists,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Organist110382825,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Tilly_Fleischmann,Tilly Fleischmann,7,136,1.0,0.0,2,2,== Life ==
