types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/WikicatPeopleFromSmarhoń,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/WikicatPeopleFromVilnius,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/WikicatPeopleFromWarsaw,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/WikicatPolishEmigrantsToTheUnitedStates,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/WikicatLithuanianEmigrantsToPoland,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Emigrant110051975,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Migrant110314952,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Moshe_Koussevitzky,Moshe Koussevitzky,15,398,1.0,0.0,13,3,== Life and work ==
