types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/WikicatAmericanRecordProducers,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/WikicatKentStateUniversityAlumni,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/WikicatMusiciansFromOhio,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
http://dbpedia.org/class/yago/WikicatSongwritersFromOhio,http://dbpedia.org/resource/Chris_Butler_(musician),Chris Butler,54,12,0.6995492656471263,0.32015669515669,0,4,== Music career ==
