types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/WikicatPointingDevices,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/WikicatComputingInputDevices,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/DataInputDevice103163973,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pointing_device,pointing device,148,345,1.0,0.0,1,9,== Civil War commemorative commissions ==
