types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatArchitecturalStyles,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatRevivalArchitecturalStyles,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Eclecticism_in_architecture,Eclectic,881,0,0.7088655141560466,0.189894848030529,0,13,== Discography == | === Albums ===
