types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/WikicatBalletCompaniesInSpain,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/WikicatDanceCompanies,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/BalletCompany108187707,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Company108187033,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Spanish_National_Dance_Company,Spanish National Dance Company,43,149,1.0,0.0,0,3,== Biography ==
