types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/WikicatDocumentaries,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Documentary106616806,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Social_documentary_photography,social documentary photography,42,135,1.0,0.0,0,6,== Photography career ==
