types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/WikicatArts,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/WikicatArtsInTheUnitedStates,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/WikicatVisualArts,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Abstract_expressionism,abstract,2215,98,0.5977868149205084,0.6657814614897134,5,2,== Early life ==
