types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/WikicatNationalistMovements,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/WikicatNationalistMovementsInAsia,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/WikicatNationalistMovementsInEurope,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Cabal108241798,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Clique108240633,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/Set108240169,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/White_movement,White Russians,2407,21,0.9920095765823204,0.0070688611046282,0,18,== External links ==
