types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/WikicatVisitorAttractions,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/WikicatVisitorAttractionsInWesternAustralia,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/WikicatRockFormations,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/WikicatRockFormationsInAustralia,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Formation108426461,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Wave_Rock,wave rock,36,158,0.9999999990642436,0.0,0,0,
