types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatAncientWeapons,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatJapaneseSwords,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatBladeWeapons,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatWeaponsOfJapan,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://umbel.org/umbel/rc/PhysicalDevice,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://umbel.org/umbel/rc/Weapon,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatMedievalWeapons,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatSamuraiWeaponsAndEquipment,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatSingle-edgedSwords,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Sword104373894,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
http://dbpedia.org/class/yago/WikicatSwords,http://dbpedia.org/resource/Katana,katana,1436,158,0.9999999999992042,0.0,0,45,== Film and television career == | === Posthumous releases ===
