types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/ontology/TelevisionStation,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
http://dbpedia.org/class/yago/WikicatFantasyGenres,http://dbpedia.org/resource/Historical_fantasy,medieval fantasy,374,93,0.9999999913794112,8.620577057268778e-09,0,10,== History ==
