types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/WikicatRituals,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Continuance101017987,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Custom100413239,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Practice100410247,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Ritual101027859,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
http://dbpedia.org/class/yago/Survival101022178,http://dbpedia.org/resource/Pharmakos,Pharmakoi,41,37,0.9999999999998864,0.0,3,6,== The Church ==
