types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/WikicatArtisticTechniques,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
http://dbpedia.org/class/yago/WikicatPaintingTechniques,http://dbpedia.org/resource/Digital_painting,digital painter,78,19,0.9999999999867272,0.0,3,8,== Career ==
