types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/WikicatClassicalMusicFestivalsInGermany,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/WikicatVisitorAttractionsInSchleswig-Holstein,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/WikicatMusicFestivalsInGermany,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1986,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
http://dbpedia.org/class/yago/WikicatSummerFestivals,http://dbpedia.org/resource/Schleswig-Holstein_Musik_Festival,Schleswig-Holstein Music Festival,183,373,1.0,0.0,0,10,== Honors ==
