types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/WikicatCommunityWebsites,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/WebSite106359193,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Vampirefreaks.com,VampireFreaks,15,14,0.9999999929479202,0.0,0,5,== External links ==
