types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/WikicatJournalismGenres,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/WikicatMassMedia,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Communication106252138,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Medium106261586,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
http://dbpedia.org/class/yago/Transmission106251781,http://dbpedia.org/resource/Alternative_media,alternative media,279,22,0.9997976752081978,0.00020236563770022263,0,6,== Career == | === Keunggulan 33 Tahun Francissca Peter Concert ===
