types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/WikicatMusicOrganizationsBasedInTheUnitedStates,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Silverlake_Conservatory_of_Music,Silverlake Conservatory Of Music,32,287,1.0,0.0,2,1,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatArtFairs,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatVisitorAttractionsInCologne,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1967,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Carnival100519333,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Exhibition100522145,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Presentation100521562,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatExhibitionsInGermany,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatTradeFairsInGermany,http://dbpedia.org/resource/Art_Cologne,Art Cologne,64,0,1.0,0.0,0,6,== Exhibitions ==
