types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatAnimeCompanies,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1981,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://umbel.org/umbel/rc/Business,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://umbel.org/umbel/rc/Organization,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatMediaCompaniesOfJapan,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/ElectronicsCompany108003035,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/NBCUniversal_Entertainment_Japan,NBCUniversal Entertainment Japan,1041,61,1.0,0.0,0,0,
