types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatANZChampionshipTeams,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
http://dbpedia.org/class/yago/WikicatNewZealandNetballTeams,http://dbpedia.org/resource/Central_Pulse,Pulse,155,8,0.9580444898604016,0.0325323366948686,0,28,== Discography ==
