@URI,@support,@types,@surfaceForm,@offset,@similarityScore,@percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Budd_Company,439,"Wikidata:Q4830453,Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:Organisation,DBpedia:Agent,DBpedia:Company",Budd,18,0.977542702163148,0.01962860025253022,"Harold Montgomory Budd (May 24, 1936 – December 8, 2020) was an American avant-garde composer and poet.",0,0,
http://dbpedia.org/resource/United_States,551746,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",American,66,0.9041463203327256,0.10394281182041828,"Harold Montgomory Budd (May 24, 1936 – December 8, 2020) was an American avant-garde composer and poet.",0,0,
http://dbpedia.org/resource/Avant-garde,5522,,avant-garde,75,0.9798073149791915,0.012966885880411725,"Harold Montgomory Budd (May 24, 1936 – December 8, 2020) was an American avant-garde composer and poet.",0,0,
http://dbpedia.org/resource/Composer,22686,,composer,87,0.983132967384201,0.010741353811016027,"Harold Montgomory Budd (May 24, 1936 – December 8, 2020) was an American avant-garde composer and poet.",0,0,
http://dbpedia.org/resource/Poet,16665,,poet,100,0.9186987051679713,0.06431770630416997,"Harold Montgomory Budd (May 24, 1936 – December 8, 2020) was an American avant-garde composer and poet.",0,0,
http://dbpedia.org/resource/Los_Angeles,123072,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Los Angeles,8,0.9999957015896552,2.3213221858679348E-6,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Mojave_Desert,2505,,Mojave,38,0.9999520983228309,4.7133853498074676E-5,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Budd_Company,439,"Wikidata:Q4830453,Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:Organisation,DBpedia:Agent,DBpedia:Company",Budd,53,0.995037913051945,0.0036906951858814564,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Composer,22686,,composer,77,0.9998705488169268,8.252503608243022E-5,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Minimalism,1731,,minimalist,93,0.6529866233774418,0.5314249353346305,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Avant-garde,5522,,avant-garde,108,0.9425894538049384,0.05904408026991652,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
http://dbpedia.org/resource/Southern_California,7766,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Southern California,129,0.9998793594413317,1.205304318593695E-4,"Born in Los Angeles and raised in the Mojave Desert, Budd became a respected composer in the minimalist and avant-garde scene of Southern California in the late 1960s, and later became better known for his work with figures such as Brian Eno and Robin Guthrie.",1,0,
