types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJournalismGenres,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/WikicatMassMedia,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Communication106252138,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Medium106261586,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
http://dbpedia.org/class/yago/Transmission106251781,http://dbpedia.org/resource/Radical_media,Radical Media,18,28,0.8511441016962641,0.1748891846655239,0,9,== External links ==
