types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/WikicatArchitecturalStyles,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/WikicatArchitectureGroups,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Gothic_architecture,gothic cathedrals,12203,26,0.9716207749128865,0.0292081291584348,20,19,== Life and career == | === 1981–1995: A new solo voice (Climate of Hunter and Tilt) ===
