types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/WikicatConfederateStatesArmyGenerals,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/CommissionedOfficer109942970,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/General110123844,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/GeneralOfficer110125786,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/General_officers_in_the_Confederate_States_Army,brigadier general,8332,112,0.9584605964372812,0.0433367775053866,0,29,== Personal life == | ==== Siblings ====
