types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatPoliticalIdeologies,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatPoliticalNeologisms,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatPoliticalTheories,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatPrejudices,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Bias106201908,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Inclination106196584,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Neologism106294441,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Orientation106208021,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Partiality106201136,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/PoliticalOrientation106212839,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Position106208751,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatGeoculturalPerspectives,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
http://dbpedia.org/class/yago/WikicatTheoriesOfHistory,http://dbpedia.org/resource/Eurocentrism,eurocentric,506,107,1.0,0.0,0,25,== Activism == | === Beyond the civil rights movement ===
