types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Newspaper,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/WikicatLondonNewspapers,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Newspaper106267145,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/London_Mercury,London Mercury,68,174,1.0,0.0,2,0,
