types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/WikicatComposers,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Composer,composer,22686,125,0.9850784444188644,0.0132327042204851,"Osvaldo Nicolás Ferraro Gutiérrez (7 September 1934 – 28 March 1977) better known as Waldo de los Ríos was an Argentine composer, conductor and arranger.",0,0,
