types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/WikicatComposers,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Composer,composer,22686,67,0.999020559681878,0.0009186760624548316,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Record_producer,record producer,39381,81,0.9999995164545826,4.829753642462963e-07,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Record_producer,record producer,39381,81,0.9999995164545826,4.829753642462963e-07,"Lars Danielsson (born 5 September 1958) is a Swedish jazz bassist, composer, and record producer.",0,0,
