types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
http://dbpedia.org/class/yago/WikicatSportsTeams,http://dbpedia.org/resource/Reserve_team,B team,2161,32,0.4208386801417462,0.7364926157424307,3,3,== Biography ==
