types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/ontology/WomensTennisAssociationTournament,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/WikicatCo-headliningConcertTours,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Travel100295701,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/Wikicat1974ConcertTours,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/George_Harrison_and_Ravi_Shankar's_1974_North_American_tour,joint North American tour,39,39,1.0,0.0,5,16,== Career == | === 2010–present: Greek Idol and Ta Genethlia Mou ===
