types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/WikicatHinduSages,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Mentor110309496,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Sage110546202,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kanva,Kanva,59,147,0.99999951577718,4.305541832636072e-07,0,17,== Recordings ==
