types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchitecturalStyles,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/WikicatArtMovements,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/ArtisticMovement108466643,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Streamline_Moderne,Art Moderne,1034,32,0.9124055096724036,0.0950933863982924,0,60,== Exhibitions ==
