types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/WikicatAmericanBiographers,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/WikicatAmericanMusicologists,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/WikicatMusicologists,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Biographer109855433,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Musicologist110341243,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bruce_Alan_Brown,"Brown, Bruce Alan",16,0,0.9999999999999716,0.0,0,52,== Sources ==
