types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatPhilippineTelevisionNetworks,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/ontology/TelevisionStation,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://umbel.org/umbel/rc/Business,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Broadcasting106276697,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Network108434259,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/System108435388,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Telecommunication106271778,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Television106277280,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/People's_Television_Network,National Broadcasting Network,895,21,0.9999999997524752,2.47529831744733e-10,3,14,== Career == | === 2000s ===
