types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/WikicatKoreanGenerals,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/WikicatSillaPeople,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/CommissionedOfficer109942970,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/General110123844,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/GeneralOfficer110125786,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
http://dbpedia.org/class/yago/WikicatPeopleFromGyeongju,http://dbpedia.org/resource/Kim_Yu-sin,Kim Yu-shin,133,76,1.0,0.0,0,10,== Acting career ==
