types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBalletsByJeromeRobbins,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/WikicatBalletsDesignedByBenBenson,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/WikicatBalletsDesignedByRonaldBates,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/WikicatBalletsToTheMusicOfPhilipGlass,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Ballet100528667,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Dancing100428270,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/HumanisticDiscipline106153846,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/PerformingArts106157326,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Premiere106893285,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/StageDancing100528397,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
http://dbpedia.org/class/yago/Wikicat1983BalletPremieres,http://dbpedia.org/resource/Glass_Pieces,Glass pieces,20,33,0.999999999764782,0.0,5,59,== Music for film ==
