types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/ontology/Magazine,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatDefunctMagazinesOfFrance,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatDefunctNewspapersOfFrance,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatWeeklyMagazines,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatPublicationsEstablishedIn1894,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatSatiricalMagazines,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatSatiricalNewspapers,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Magazine106595351,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Newspaper106267145,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatFrench-languageMagazines,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
http://dbpedia.org/class/yago/WikicatFrenchSatiricalMagazines,http://dbpedia.org/resource/Le_Rire,Le Rire,53,0,0.999999999999858,0.0,0,17,== Bibliography ==
