types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Amount105107765,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Magnitude105090441,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Number105121418,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Numeral106807198,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/System104377057,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/WikicatNumbers,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/WikicatNumeralSystems,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/WikicatNumerals,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
http://dbpedia.org/class/yago/WikicatSymbols,http://dbpedia.org/resource/Roman_numerals,Roman numeral,1588,48,0.99976201234371,0.0002380442185056138,2,6,== Career == | === 2011–2016: Early career and EPs ===
