types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatAgglutinativeLanguages,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatAustronesianLanguages,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://umbel.org/umbel/rc/Language,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfBrunei,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfIndonesia,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfMalaysia,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfSingapore,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfSriLanka,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfThailand,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatLanguagesOfThePhilippines,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatMalayLanguagesInSingapore,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatMalayicLanguages,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/WikicatMalayo-PolynesianLanguages,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Malay_language,Malayan,10174,77,0.6481008339851096,0.4110974412595133,1,38,== Linguistics ==
