types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Celebration100428000,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/WikicatEuropeanCourtFestivities,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/WikicatOperaGenres,http://dbpedia.org/resource/Festa_teatrale,Festa teatrale,26,0,1.0,0.0,0,4,== Selected recordings ==
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Giovanni_Legrenzi,Giovanni Legrenzi,112,74,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Giovanni_Legrenzi,Giovanni Legrenzi,112,74,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/WikicatBaroqueComposers,http://dbpedia.org/resource/Giovanni_Legrenzi,Giovanni Legrenzi,112,74,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/WikicatItalianClassicalOrganists,http://dbpedia.org/resource/Giovanni_Legrenzi,Giovanni Legrenzi,112,74,1.0,0.0,0,4,== Selected recordings ==
http://dbpedia.org/class/yago/WikicatItalianComposers,http://dbpedia.org/resource/Giovanni_Legrenzi,Giovanni Legrenzi,112,74,1.0,0.0,0,4,== Selected recordings ==
