types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHumanRightsInTheUnitedStates,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/WikicatCodesOfConduct,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/CodeOfConduct105668095,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Convention105667613,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/HumanRight105176846,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Practice105667196,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
http://dbpedia.org/class/yago/Right105174653,http://dbpedia.org/resource/Motion_Picture_Production_Code,production code,938,4,0.9939772214741188,0.0060592673799282,2,0,
